chembl_id,smiles,standard_value,bioactivity_class,pIC50,MW,LogP,HBD,HBA,TPSA,RotBonds,ArRings,Fsp3,QED,Ro5_violations,Lipinski_pass
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,750.0,active,6.1249,319.68,-0.0,1,6,73.19,3,2,0.466,0.285,0,Pass
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,100.0,active,7.0,383.94,4.11,0,5,69.53,2,1,0.577,0.637,0,Pass
CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,50000.0,inactive,4.301,445.5,2.66,0,5,53.5,4,2,0.251,0.66,0,Pass
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,300.0,active,6.5229,419.58,4.33,0,5,50.74,5,1,0.036,0.719,0,Pass
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,800.0,active,6.0969,359.64,1.0,1,6,83.81,4,1,0.451,0.551,0,Pass
CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,2400.0,intermediate,5.6198,345.6,0.63,0,5,70.24,3,2,0.337,0.632,0,Pass
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,100.0,active,7.0,306.18,2.52,0,5,42.05,2,1,0.528,0.912,0,Pass
CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,50000.0,inactive,4.301,414.18,4.33,1,6,71.04,4,1,0.583,0.798,0,Pass
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,800.0,active,6.0969,298.08,0.51,1,6,73.96,3,1,0.297,0.54,0,Pass
CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,50000.0,inactive,4.301,424.44,0.88,1,6,80.26,1,2,0.647,0.827,0,Pass
CHEMBL341437,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,50000.0,inactive,4.301,354.24,1.16,1,7,76.19,2,1,0.207,0.453,0,Pass
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,50.0,active,7.301,319.68,0.56,0,5,50.18,3,2,0.034,0.445,0,Pass
CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,100000.0,inactive,4.0,397.44,1.72,2,6,113.55,2,2,0.315,0.508,0,Pass
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,560.0,active,6.2518,345.6,0.13,0,5,51.21,2,2,0.67,0.685,0,Pass
CHEMBL339995,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,10.0,active,8.0,293.76,0.88,0,5,47.66,2,1,0.574,0.389,0,Pass
CHEMBL335158,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,10.0,active,8.0,409.86,4.68,0,5,45.05,4,1,0.374,0.472,0,Pass
CHEMBL131536,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,1400.0,intermediate,5.8539,370.98,1.4,0,5,57.19,1,2,0.399,0.347,0,Pass
CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,17000.0,inactive,4.7696,263.52,2.84,1,5,63.39,1,0,0.596,0.644,0,Pass
CHEMBL334971,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,1100.0,intermediate,5.9586,375.84,0.38,1,6,94.77,3,2,0.063,0.843,0,Pass
CHEMBL336625,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,50000.0,inactive,4.301,410.4,2.03,0,5,65.47,3,2,0.209,0.915,0,Pass
CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,26.0,active,7.585,345.06,3.54,0,5,52.05,2,1,0.137,0.904,0,Pass
CHEMBL134061,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,50000.0,inactive,4.301,423.9,3.05,1,6,79.91,4,1,0.484,0.824,0,Pass
CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,800.0,active,6.0969,280.8,1.07,0,5,58.25,1,1,0.552,0.759,0,Pass
CHEMBL130645,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,50000.0,inactive,4.301,349.38,1.92,1,6,88.76,2,1,0.765,0.876,0,Pass
CHEMBL133580,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,50000.0,inactive,4.301,435.78,3.29,0,5,43.55,5,2,0.529,0.693,0,Pass
CHEMBL336524,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,56.0,active,7.2518,319.14,2.43,0,5,45.79,1,1,0.694,0.705,0,Pass
CHEMBL336276,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,200.0,active,6.699,345.6,2.45,0,5,39.42,3,1,0.226,0.674,0,Pass
CHEMBL334395,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,300.0,active,6.5229,332.1,2.86,0,5,53.27,1,1,0.624,0.943,0,Pass
CHEMBL131320,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,200.0,active,6.699,355.32,1.64,0,5,55.33,4,1,0.579,0.641,0,Pass
CHEMBL339297,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,50000.0,inactive,4.301,373.68,0.51,1,7,79.2,4,2,0.135,0.548,0,Pass
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,500.0,active,6.301,342.36,1.29,0,5,46.36,1,1,0.164,0.681,0,Pass
CHEMBL122575,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,100000.0,inactive,4.0,362.88,0.41,2,7,99.22,2,2,0.446,0.555,0,Pass
CHEMBL130704,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,50000.0,inactive,4.301,324.0,1.35,1,6,72.81,1,1,0.237,0.682,0,Pass
CHEMBL46151,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,260000.0,inactive,3.585,311.04,1.03,1,5,74.41,2,1,0.431,0.389,0,Pass
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],22.0,active,7.6576,306.72,0.95,1,4,54.13,3,1,0.488,0.962,0,Pass
CHEMBL297316,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],1000000.0,inactive,3.0,326.7,2.17,1,4,57.59,3,1,0.654,0.596,0,Pass
